sale_id,sale_date,product_id,region_id,units_sold,sales_amount,promotion_id
1,2025-07-01,P001,R01,156,234.0,
2,2025-07-01,P001,R02,275,350.62,PROM01
3,2025-07-01,P001,R03,161,241.5,
4,2025-07-01,P001,R04,266,339.15,PROM02
5,2025-07-01,P001,R05,187,280.5,
6,2025-07-01,P002,R01,98,156.8,
7,2025-07-01,P002,R02,109,174.4,
8,2025-07-01,P002,R03,96,153.6,
9,2025-07-01,P002,R04,102,163.2,
10,2025-07-01,P002,R05,112,179.2,
11,2025-07-01,P003,R01,72,158.4,
12,2025-07-01,P003,R02,76,167.2,
13,2025-07-01,P003,R03,87,191.4,
14,2025-07-01,P003,R04,85,187.0,
15,2025-07-01,P003,R05,76,167.2,
16,2025-07-01,P004,R01,71,213.0,
17,2025-07-01,P004,R02,76,228.0,
18,2025-07-01,P004,R03,59,177.0,
19,2025-07-01,P004,R04,76,228.0,
20,2025-07-01,P004,R05,74,222.0,
21,2025-07-01,P005,R01,205,164.0,
22,2025-07-01,P005,R02,236,188.8,
23,2025-07-01,P005,R03,272,217.6,
24,2025-07-01,P005,R04,296,236.8,
25,2025-07-01,P005,R05,210,168.0,
26,2025-07-01,P006,R01,118,141.6,
27,2025-07-01,P006,R02,149,178.8,
28,2025-07-01,P006,R03,139,166.8,
29,2025-07-01,P006,R04,147,176.4,
30,2025-07-01,P006,R05,144,172.8,
31,2025-07-01,P007,R01,60,270.0,
32,2025-07-01,P007,R02,68,306.0,
33,2025-07-01,P007,R03,57,256.5,
34,2025-07-01,P007,R04,60,270.0,
35,2025-07-01,P007,R05,65,292.5,
36,2025-07-01,P008,R01,55,154.0,
37,2025-07-01,P008,R02,39,109.2,
38,2025-07-01,P008,R03,50,140.0,
39,2025-07-01,P008,R04,57,159.6,
40,2025-07-01,P008,R05,38,106.4,
41,2025-07-01,P009,R01,36,104.4,
42,2025-07-01,P009,R02,37,107.3,
43,2025-07-01,P009,R03,34,98.6,
44,2025-07-01,P009,R04,36,104.4,
45,2025-07-01,P009,R05,35,101.5,
46,2025-07-01,P010,R01,28,89.6,
47,2025-07-01,P010,R02,31,99.2,
48,2025-07-01,P010,R03,28,89.6,
49,2025-07-01,P010,R04,28,89.6,
50,2025-07-01,P010,R05,27,86.4,
51,2025-07-01,P011,R01,32,64.0,
52,2025-07-01,P011,R02,39,78.0,
53,2025-07-01,P011,R03,36,72.0,
54,2025-07-01,P011,R04,36,72.0,
55,2025-07-01,P011,R05,31,62.0,
56,2025-07-01,P012,R01,64,160.0,
57,2025-07-01,P012,R02,59,147.5,
58,2025-07-01,P012,R03,52,130.0,
59,2025-07-01,P012,R04,82,205.0,
60,2025-07-01,P012,R05,62,155.0,
61,2025-07-01,P013,R01,48,124.8,
62,2025-07-01,P013,R02,50,130.0,
63,2025-07-01,P013,R03,52,135.2,
64,2025-07-01,P013,R04,51,132.6,
65,2025-07-01,P013,R05,44,114.4,
66,2025-07-01,P014,R01,30,105.0,
67,2025-07-01,P014,R02,34,119.0,
68,2025-07-01,P014,R03,33,115.5,
69,2025-07-01,P014,R04,32,112.0,
70,2025-07-01,P014,R05,40,140.0,
71,2025-07-01,P015,R01,94,169.2,
72,2025-07-01,P015,R02,87,156.6,
73,2025-07-01,P015,R03,80,144.0,
74,2025-07-01,P015,R04,67,120.6,
75,2025-07-01,P015,R05,86,154.8,
76,2025-07-01,P016,R01,76,136.8,
