inventory_id,snapshot_date,product_id,region_id,opening_inventory,received_units,closing_inventory
1,2025-07-01,P001,R01,1200,0,1044
2,2025-07-01,P001,R02,1200,0,925
3,2025-07-01,P001,R03,1200,0,1039
4,2025-07-01,P001,R04,1200,0,934
5,2025-07-01,P001,R05,1200,0,1013
6,2025-07-01,P002,R01,800,0,702
7,2025-07-01,P002,R02,800,0,691
8,2025-07-01,P002,R03,800,0,704
9,2025-07-01,P002,R04,800,0,698
10,2025-07-01,P002,R05,800,0,688
11,2025-07-01,P003,R01,600,0,528
12,2025-07-01,P003,R02,600,0,524
13,2025-07-01,P003,R03,600,0,513
14,2025-07-01,P003,R04,600,0,515
15,2025-07-01,P003,R05,600,0,524
16,2025-07-01,P004,R01,500,0,429
17,2025-07-01,P004,R02,500,0,424
18,2025-07-01,P004,R03,500,0,441
19,2025-07-01,P004,R04,500,0,424
20,2025-07-01,P004,R05,500,0,426
21,2025-07-01,P005,R01,1600,0,1395
22,2025-07-01,P005,R02,1600,0,1364
23,2025-07-01,P005,R03,1600,0,1328
24,2025-07-01,P005,R04,1600,0,1304
25,2025-07-01,P005,R05,1600,0,1390
26,2025-07-01,P006,R01,900,0,782
27,2025-07-01,P006,R02,900,0,751
28,2025-07-01,P006,R03,900,0,761
29,2025-07-01,P006,R04,900,0,753
30,2025-07-01,P006,R05,900,0,756
31,2025-07-01,P007,R01,400,0,340
32,2025-07-01,P007,R02,400,0,332
33,2025-07-01,P007,R03,400,0,343
34,2025-07-01,P007,R04,400,0,340
35,2025-07-01,P007,R05,400,0,335
36,2025-07-01,P008,R01,450,0,395
37,2025-07-01,P008,R02,450,0,411
38,2025-07-01,P008,R03,450,0,400
39,2025-07-01,P008,R04,450,0,393
40,2025-07-01,P008,R05,450,0,412
41,2025-07-01,P009,R01,400,0,364
42,2025-07-01,P009,R02,400,0,363
43,2025-07-01,P009,R03,400,0,366
44,2025-07-01,P009,R04,400,0,364
45,2025-07-01,P009,R05,400,0,365
46,2025-07-01,P010,R01,300,0,272
47,2025-07-01,P010,R02,300,0,269
48,2025-07-01,P010,R03,300,0,272
49,2025-07-01,P010,R04,300,0,272
50,2025-07-01,P010,R05,300,0,273
51,2025-07-01,P011,R01,350,0,318
52,2025-07-01,P011,R02,350,0,311
53,2025-07-01,P011,R03,350,0,314
54,2025-07-01,P011,R04,350,0,314
55,2025-07-01,P011,R05,350,0,319
56,2025-07-01,P012,R01,500,0,436
57,2025-07-01,P012,R02,500,0,441
58,2025-07-01,P012,R03,500,0,448
59,2025-07-01,P012,R04,500,0,418
60,2025-07-01,P012,R05,500,0,438
